T2HK flux file produced from /disk2/usr5/kachulis/T2HK_Ntuples/anumode/*.root on Sun Feb 22 04:25:51 2015
E(GeV)  nu_e   nu_e_bar   nu_mu   nu_mu_bar   nu_tau   nu_tau_bar (GeV 1.0e20 POT m^2)^-1
0.005   0   0   0   0   0   0
0.015   250187   768693   1.61443e+08   9.2486e+07   0   0
0.025   681427   2.73521e+06   4.20198e+08   2.22649e+08   0   0
0.035   1.11611e+06   4.98446e+06   6.31049e+08   3.68844e+08   0   0
0.045   1.55425e+06   7.51645e+06   7.93998e+08   5.31071e+08   0   0
0.055   1.99582e+06   1.03312e+07   9.09042e+08   7.0933e+08   0   0
0.065   2.44085e+06   1.34286e+07   9.76184e+08   9.03621e+08   0   0
0.075   2.88932e+06   1.68088e+07   9.95422e+08   1.11394e+09   0   0
0.085   3.34124e+06   2.04718e+07   9.66757e+08   1.3403e+09   0   0
0.095   3.79661e+06   2.44174e+07   8.90189e+08   1.58269e+09   0   0
0.105   4.25435e+06   2.85829e+07   7.74973e+08   1.83823e+09   0   0
0.115   4.7081e+06   3.25902e+07   6.76645e+08   2.08969e+09   0   0
0.125   5.15678e+06   3.63763e+07   6.0446e+08   2.33419e+09   0   0
0.135   5.60039e+06   3.99414e+07   5.58418e+08   2.57173e+09   0   0
0.145   6.03894e+06   4.32854e+07   5.38519e+08   2.8023e+09   0   0
0.155   6.47171e+06   4.6428e+07   5.41062e+08   3.02854e+09   0   0
0.165   6.89437e+06   4.94885e+07   5.4384e+08   3.26612e+09   0   0
0.175   7.3062e+06   5.24867e+07   5.43151e+08   3.51768e+09   0   0
0.185   7.70721e+06   5.54225e+07   5.38996e+08   3.7832e+09   0   0
0.195   8.0974e+06   5.8296e+07   5.31374e+08   4.0627e+09   0   0
0.205   8.47659e+06   6.11e+07   5.21077e+08   4.35588e+09   0   0
0.215   8.84374e+06   6.37924e+07   5.12844e+08   4.66106e+09   0   0
0.225   9.1987e+06   6.6366e+07   5.07467e+08   4.97797e+09   0   0
0.235   9.54146e+06   6.88208e+07   5.04944e+08   5.30661e+09   0   0
0.245   9.87201e+06   7.11569e+07   5.05278e+08   5.64697e+09   0   0
0.255   1.01885e+07   7.33716e+07   5.08074e+08   5.99914e+09   0   0
0.265   1.04796e+07   7.54492e+07   5.10982e+08   6.36359e+09   0   0
0.275   1.07436e+07   7.73873e+07   5.1361e+08   6.7404e+09   0   0
0.285   1.09804e+07   7.91858e+07   5.15957e+08   7.12958e+09   0   0
0.295   1.119e+07   8.08446e+07   5.18024e+08   7.53112e+09   0   0
0.305   1.13749e+07   8.23746e+07   5.20003e+08   7.94464e+09   0   0
0.315   1.15507e+07   8.38402e+07   5.23059e+08   8.36776e+09   0   0
0.325   1.17199e+07   8.52521e+07   5.27384e+08   8.80011e+09   0   0
0.335   1.18826e+07   8.66104e+07   5.32978e+08   9.24167e+09   0   0
0.345   1.20386e+07   8.79151e+07   5.39842e+08   9.69245e+09   0   0
